Seat ID,Demand Partner,Deal ID,Private Deal,Bid Requests,Bid Responses,Imps,Revenue,Bid eCPM,Bidfloor,Win Rate
16,Google DV360,VDMY_477011707,Yes,5723220,76260,42256,$ 190.15,$ 4.63,$ 4.50,0.74 %
16,Google DV360,VDMY_308448041,Yes,5715780,0,0,$ 0.00,$ 0.00,$ 5.50,0.00 %
16,Google DV360,VDMY_290790680,Yes,5570700,0,0,$ 0.00,$ 0.00,$ 4.90,0.00 %
16,Google DV360,VDMY_434894916,Yes,5505600,0,0,$ 0.00,$ 0.00,$ 20.00,0.00 %
16,Google DV360,VDMY_443469075,Yes,5384700,72540,36334,$ 170.77,$ 4.84,$ 4.70,0.67 %
80,MediaMath,VDMY_265971569,Yes,5291700,0,0,$ 0.00,$ 0.00,$ 3.50,0.00 %
16,Google DV360,VDMY_433615475,Yes,5282400,16740,16516,$ 72.67,$ 4.50,$ 4.40,0.31 %
16,Google DV360,VDMY_426431488,Yes,5280540,9300,5876,$ 41.13,$ 7.20,$ 7.00,0.11 %
16,Google DV360,VDMY_500791849,Yes,5185680,29760,18530,$ 101.92,$ 5.67,$ 5.50,0.36 %
16,Google DV360,VDMY_290963555,Yes,5174520,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_314677095,Yes,5168940,0,0,$ 0.00,$ 0.00,$ 6.17,0.00 %
16,Google DV360,VDMY_356168057,Yes,5051760,0,0,$ 0.00,$ 0.00,$ 4.90,0.00 %
16,Google DV360,VDMY_518058576,Yes,4997820,0,0,$ 0.00,$ 0.00,$ 5.50,0.00 %
16,Google DV360,VDMY_368153859,Yes,4964340,0,0,$ 0.00,$ 0.00,$ 4.30,0.00 %
16,Google DV360,VDMY_419913263,Yes,4949460,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_463885593,Yes,4927140,0,0,$ 0.00,$ 0.00,$ 4.50,0.00 %
16,Google DV360,VDMY_382181765,Yes,4927140,0,0,$ 0.00,$ 0.00,$ 4.70,0.00 %
16,Google DV360,VDMY_358683084,Yes,4919700,0,0,$ 0.00,$ 0.00,$ 4.50,0.00 %
16,Google DV360,VDMY_331575657,Yes,4919700,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_366879252,Yes,4917840,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_463752724,Yes,4902960,0,0,$ 0.00,$ 0.00,$ 4.50,0.00 %
16,Google DV360,VDMY_282044700,Yes,4893660,0,0,$ 0.00,$ 0.00,$ 5.39,0.00 %
16,Google DV360,VDMY_331651846,Yes,4888080,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_472216723,Yes,4850880,0,0,$ 0.00,$ 0.00,$ 5.10,0.00 %
16,Google DV360,VDMY_332027986,Yes,4796940,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_274644979,Yes,4780200,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_328381155,Yes,4770900,0,0,$ 0.00,$ 0.00,$ 0.01,0.00 %
16,Google DV360,VDMY_AM_91284,Yes,4767180,0,0,$ 0.00,$ 0.00,$ 6.50,0.00 %
16,Google DV360,VDMY_419310864,Yes,4735560,0,0,$ 0.00,$ 0.00,$ 7.00,0.00 %
16,Google DV360,VDMY_BM_48247,Yes,4648140,0,133,$ 0.88,$ 0.00,$ 6.65,0.00 %
16,Google DV360,VDMY_419250671,Yes,4644420,0,0,$ 0.00,$ 0.00,$ 7.00,0.00 %
80,MediaMath,VDMY_276881538,Yes,4596060,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_382330796,Yes,4571880,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
