Seat ID,Demand Partner,Deal ID,Private Deal,Bid Requests,Bid Responses,Imps,Revenue,Bid eCPM,Bidfloor,Win Rate
16,Google DV360,VDMY_PU_90002,Yes,1136460,20460,6311,$ 31.55,$ 5.15,$ 5.00,0.56 %
16,Google DV360,VDMY_267027609,Yes,1108560,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_263328538,Yes,1054620,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_265284853,Yes,1009980,0,0,$ 0.00,$ 0.00,$ 6.31,0.00 %
16,Google DV360,VDMY_326356930,Yes,935580,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_354592808,Yes,933720,55800,40718,$ 244.31,$ 6.27,$ 6.00,4.36 %
16,Google DV360,VDMY_292256170,Yes,918840,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_283915950,Yes,911400,0,0,$ 0.00,$ 0.00,$ 7.24,0.00 %
16,Google DV360,VDMY_300129076,Yes,903960,0,0,$ 0.00,$ 0.00,$ 4.90,0.00 %
16,Google DV360,VDMY_292421483,Yes,890940,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
80,MediaMath,VDMY_296166038,Yes,857460,0,0,$ 0.00,$ 0.00,$ 6.50,0.00 %
16,Google DV360,VDMY_277694213,Yes,822120,11160,5277,$ 31.66,$ 6.24,$ 6.00,0.64 %
16,Google DV360,VDMY_274091939,Yes,749580,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_303588417,Yes,688200,0,0,$ 0.00,$ 0.00,$ 5.34,0.00 %
16,Google DV360,VDMY_352099244,Yes,686340,37200,27154,$ 108.62,$ 4.48,$ 4.00,3.96 %
16,Google DV360,VDMY_319929938,Yes,682620,53940,31616,$ 109.71,$ 4.67,$ 3.47,4.63 %
16,Google DV360,VDMY_HV_63219,Yes,673320,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
